# Morse Potential Data for C=N Iminium Ion
# Dissociation Energy (De): 5.500 eV
# Equilibrium Bond Length (re): 1.250 A
# Morse Parameter (a): 25183330242005.895 A^-1
# Force Constant: 1200 N/m
# 
# Bond_Length(A)	Potential_Energy(eV)
0.800000	inf
0.803407	inf
0.806814	inf
0.810220	inf
0.813627	inf
0.817034	inf
0.820441	inf
0.823848	inf
0.827255	inf
0.830661	inf
0.834068	inf
0.837475	inf
0.840882	inf
0.844289	inf
0.847695	inf
0.851102	inf
0.854509	inf
0.857916	inf
0.861323	inf
0.864729	inf
0.868136	inf
0.871543	inf
0.874950	inf
0.878357	inf
0.881764	inf
0.885170	inf
0.888577	inf
0.891984	inf
0.895391	inf
0.898798	inf
0.902204	inf
0.905611	inf
0.909018	inf
0.912425	inf
0.915832	inf
0.919238	inf
0.922645	inf
0.926052	inf
0.929459	inf
0.932866	inf
0.936273	inf
0.939679	inf
0.943086	inf
0.946493	inf
0.949900	inf
0.953307	inf
0.956713	inf
0.960120	inf
0.963527	inf
0.966934	inf
0.970341	inf
0.973747	inf
0.977154	inf
0.980561	inf
0.983968	inf
0.987375	inf
0.990782	inf
0.994188	inf
0.997595	inf
1.001002	inf
1.004409	inf
1.007816	inf
1.011222	inf
1.014629	inf
1.018036	inf
1.021443	inf
1.024850	inf
1.028257	inf
1.031663	inf
1.035070	inf
1.038477	inf
1.041884	inf
1.045291	inf
1.048697	inf
1.052104	inf
1.055511	inf
1.058918	inf
1.062325	inf
1.065731	inf
1.069138	inf
1.072545	inf
1.075952	inf
1.079359	inf
1.082766	inf
1.086172	inf
1.089579	inf
1.092986	inf
1.096393	inf
1.099800	inf
1.103206	inf
1.106613	inf
1.110020	inf
1.113427	inf
1.116834	inf
1.120240	inf
1.123647	inf
1.127054	inf
1.130461	inf
1.133868	inf
1.137275	inf
1.140681	inf
1.144088	inf
1.147495	inf
1.150902	inf
1.154309	inf
1.157715	inf
1.161122	inf
1.164529	inf
1.167936	inf
1.171343	inf
1.174749	inf
1.178156	inf
1.181563	inf
1.184970	inf
1.188377	inf
1.191784	inf
1.195190	inf
1.198597	inf
1.202004	inf
1.205411	inf
1.208818	inf
1.212224	inf
1.215631	inf
1.219038	inf
1.222445	inf
1.225852	inf
1.229259	inf
1.232665	inf
1.236072	inf
1.239479	inf
1.242886	inf
1.246293	inf
1.249699	inf
1.253106	5.500000
1.256513	5.500000
1.259920	5.500000
1.263327	5.500000
1.266733	5.500000
1.270140	5.500000
1.273547	5.500000
1.276954	5.500000
1.280361	5.500000
1.283768	5.500000
1.287174	5.500000
1.290581	5.500000
1.293988	5.500000
1.297395	5.500000
1.300802	5.500000
1.304208	5.500000
1.307615	5.500000
1.311022	5.500000
1.314429	5.500000
1.317836	5.500000
1.321242	5.500000
1.324649	5.500000
1.328056	5.500000
1.331463	5.500000
1.334870	5.500000
1.338277	5.500000
1.341683	5.500000
1.345090	5.500000
1.348497	5.500000
1.351904	5.500000
1.355311	5.500000
1.358717	5.500000
1.362124	5.500000
1.365531	5.500000
1.368938	5.500000
1.372345	5.500000
1.375752	5.500000
1.379158	5.500000
1.382565	5.500000
1.385972	5.500000
1.389379	5.500000
1.392786	5.500000
1.396192	5.500000
1.399599	5.500000
1.403006	5.500000
1.406413	5.500000
1.409820	5.500000
1.413226	5.500000
1.416633	5.500000
1.420040	5.500000
1.423447	5.500000
1.426854	5.500000
1.430261	5.500000
1.433667	5.500000
1.437074	5.500000
1.440481	5.500000
1.443888	5.500000
1.447295	5.500000
1.450701	5.500000
1.454108	5.500000
1.457515	5.500000
1.460922	5.500000
1.464329	5.500000
1.467735	5.500000
1.471142	5.500000
1.474549	5.500000
1.477956	5.500000
1.481363	5.500000
1.484770	5.500000
1.488176	5.500000
1.491583	5.500000
1.494990	5.500000
1.498397	5.500000
1.501804	5.500000
1.505210	5.500000
1.508617	5.500000
1.512024	5.500000
1.515431	5.500000
1.518838	5.500000
1.522244	5.500000
1.525651	5.500000
1.529058	5.500000
1.532465	5.500000
1.535872	5.500000
1.539279	5.500000
1.542685	5.500000
1.546092	5.500000
